name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating
Paul Robinson,https://dummyimage.com/848x297,MSc in Information Technology,37,DevOps Engineer,Galvan-Velez,DevOps,"Linux, Docker, Shell Scripting, Kubernetes, Azure",1.4
Brianna Porter,https://placekitten.com/284/357,MSc in Computer Science,27,Senior Software Engineer,Ortega and Sons,Software Engineering,"Debugging, Software Design, Java, Python, C++",3.1
Lisa Simmons,https://dummyimage.com/675x252,BSc in Network Engineering,38,Principal Network Engineer,Rubio-Alvarez,Network Administration,"LAN/WAN, Network Troubleshooting, Wireless Networking, Firewall Configuration, Network Design",4.3
Robert Ali MD,https://dummyimage.com/387x689,PhD in Artificial Intelligence,12,Senior AI Scientist,Howard-Fernandez,Deep Learning,"PyTorch, Machine Learning, Algorithm Development, Deep Learning, TensorFlow",2.3
Ryan Bailey,https://picsum.photos/227/445,BSc in Computer Science,20,Senior Frontend Developer,Kennedy Ltd,UI/UX Design,"UI/UX Design, Vue.js, CSS, Responsive Design, TypeScript",2.6
Noah Brewer,https://dummyimage.com/675x958,BSc in Information Technology,8,Principal Frontend Developer,"Peterson, Wolf and Wilkins",UI/UX Design,"Angular, JavaScript, UI/UX Design, Responsive Design, Vue.js",4.9
Eric Logan,https://placekitten.com/687/517,MSc in Information Systems,7,Systems Analyst,Parker-French,Systems Analysis,"Business Analysis, UML, Database Management, Requirements Gathering, System Analysis",1.5
Samantha Dominguez,https://picsum.photos/68/312,MSc in Computer Science,40,Full Stack Developer,Hanson-Bryant,Full Stack Development,"HTML, JavaScript, REST APIs, Node.js, SQL",3.1
Kevin James,https://dummyimage.com/294x110,BSc in Information Technology,28,DevOps Engineer,Malone Ltd,Cloud Computing,"Docker, Azure, Linux, Ansible, AWS",4.4
Maureen Barnett,https://picsum.photos/761/729,BSc in Information Technology,21,Principal DevOps Engineer,Watson-Strong,DevOps,"Shell Scripting, Azure, AWS, Kubernetes, CI/CD",4.2
Bryan Carroll,https://placekitten.com/314/186,MSc in Computer Science,14,Senior Full Stack Developer,"Maddox, Clark and Fitzgerald",Web Development,"SQL, JavaScript, CSS, Angular, HTML",4.2
Jessica Nielsen,https://picsum.photos/992/621,BSc in Information Technology,39,DevOps Engineer,Garcia-Davis,Infrastructure as Code,"Kubernetes, Shell Scripting, Azure, CI/CD, Terraform",3.6
Tiffany Jones,https://dummyimage.com/822x325,BSc in Data Engineering,28,Principal Data Engineer,"Fritz, Yang and Simpson",ETL Processes,"Apache Spark, Data Warehousing, Database Management, Data Pipeline Development, Big Data",2.4
Kyle Good,https://placekitten.com/911/385,BSc in Computer Science,16,Senior Backend Developer,"White, Farmer and Lawson",Database Management,"Go, Backend Development, NoSQL Databases, Microservices, Node.js",3.5
Jesse Bryant,https://dummyimage.com/632x174,BSc in Computer Science,16,Principal Software Engineer,Spencer-Carter,Cloud Computing,"C++, Agile Methodologies, Software Design, Debugging, System Architecture",2.7
Curtis Patton,https://placekitten.com/171/877,BSc in Business Administration,29,Principal Product Manager,Haney Ltd,User Experience,"Product Lifecycle Management, Market Research, Scrum, User Experience, Stakeholder Management",4.4
Ashley Smith,https://picsum.photos/833/562,PhD in Artificial Intelligence,9,Principal AI Researcher,Robinson-Adams,Computer Vision,"Computer Vision, Natural Language Processing, Deep Learning, Reinforcement Learning, Machine Learning",3.7
Teresa Evans DDS,https://dummyimage.com/660x193,MSc in Computer Science,9,Senior Software Engineer,Carter Group,Database Systems,"API Development, Debugging, Python, System Architecture, Java",4.3
Vanessa Rodriguez,https://dummyimage.com/658x300,BSc in Network Engineering,17,Principal Network Engineer,Johnson-Lopez,Networking,"Firewall Configuration, Wireless Networking, VPN, TCP/IP, Network Troubleshooting",2.4
Matthew Zuniga,https://dummyimage.com/980x906,MSc in Cybersecurity,38,Cybersecurity Expert,"Hull, Smith and Cole",Threat Intelligence,"Ethical Hacking, Firewall Management, Vulnerability Assessment, Cryptography, Network Security",3.3
Mitchell Alexander,https://dummyimage.com/32x743,MSc in Network Engineering,37,Senior Network Engineer,Wood LLC,Networking,"Network Troubleshooting, LAN/WAN, Network Design, Wireless Networking, Firewall Configuration",4.9
Jesse Wells,https://picsum.photos/582/970,MSc in Information Systems,27,Systems Analyst,"Hudson, Olson and Shields",Systems Analysis,"Requirements Gathering, System Analysis, Process Improvement, Business Analysis, Technical Documentation",3.9
Manuel Hopkins,https://dummyimage.com/957x499,BSc in Business Administration,10,Product Manager,Molina Ltd,Agile Development,"Product Roadmap, User Experience, Market Research, Scrum, Project Management",3.6
Natalie Perkins,https://placekitten.com/69/935,BSc in Computer Science,5,Senior Software Engineer,Ritter-Perez,Database Systems,"C++, Database Management, API Development, System Architecture, Debugging",2.2
Danielle Moore,https://picsum.photos/389/568,MSc in Blockchain Technology,1,Senior Blockchain Engineer,Hendricks Ltd,Smart Contracts,"Blockchain Development, Solidity, Smart Contracts, Consensus Algorithms, Ethereum",4.1
Lindsey Mckinney,https://dummyimage.com/485x228,BSc in Information Systems,22,Senior Systems Analyst,Wallace-Mccullough,Process Improvement,"System Analysis, System Integration, Business Analysis, UML, Requirements Gathering",4.8
Christian Martin,https://dummyimage.com/294x371,MSc in Computer Science,16,Principal Mobile App Developer,Smith and Sons,Android Development,"Swift, Mobile UI Design, Flutter, Kotlin, Android Development",2.0
Ryan Andrews,https://picsum.photos/1005/310,BSc in Computer Science,18,Senior Backend Developer,Peterson-Douglas,Microservices Architecture,"REST APIs, Backend Development, Java, Python, Go",2.3
John Sanchez,https://dummyimage.com/579x168,BSc in Computer Science,35,Principal Frontend Developer,Finley PLC,Web Development,"Angular, UI/UX Design, Responsive Design, TypeScript, HTML",3.1
Austin Bell,https://picsum.photos/301/701,PhD in Computer Science,22,Principal AI Researcher,"Miller, Diaz and Sanders",Artificial Intelligence,"Algorithm Development, Computer Vision, Machine Learning, TensorFlow, Natural Language Processing",3.3
Michael Delgado,https://dummyimage.com/125x254,BSc in Computer Science,37,Principal Frontend Developer,Johnson-Ramirez,Responsive Design,"React, Vue.js, Responsive Design, JavaScript, CSS",4.3
Meghan Mason,https://dummyimage.com/626x314,BSc in Cybersecurity,12,Cybersecurity Expert,"Rodriguez, King and Porter",Threat Intelligence,"Security Information and Event Management (SIEM), Vulnerability Assessment, Penetration Testing, Incident Response, Ethical Hacking",4.5
Nicole Clark,https://placekitten.com/703/71,BSc in Computer Science,7,Backend Developer,Oliver-Becker,API Development,"Go, SQL, Microservices, NoSQL Databases, Python",1.4
Cindy Mays,https://picsum.photos/150/429,BSc in Cybersecurity,11,Senior Cybersecurity Analyst,Garcia-Kerr,Incident Response,"Security Information and Event Management (SIEM), Vulnerability Assessment, Network Security, Cryptography, Ethical Hacking",4.6
Keith Byrd,https://picsum.photos/239/954,BSc in Computer Science,7,Principal Backend Developer,Duran-Shah,Microservices Architecture,"Java, SQL, REST APIs, Backend Development, NoSQL Databases",1.9
Kent Kirby,https://picsum.photos/552/709,BSc in Information Systems,13,Principal Systems Analyst,Black-Humphrey,Systems Analysis,"Requirements Gathering, Database Management, System Analysis, System Integration, Business Analysis",2.6
Alyssa Rojas,https://placekitten.com/800/746,BSc in Computer Science,11,Principal Mobile App Developer,"Reed, Wood and Phelps",Android Development,"React Native, Cross-Platform Development, iOS Development, Flutter, Kotlin",2.3
Danielle Frederick,https://placekitten.com/796/124,MSc in Information Technology,35,Senior DevOps Engineer,Howard-Mejia,Cloud Computing,"CI/CD, Terraform, AWS, Linux, Shell Scripting",2.5
Matthew Campos,https://picsum.photos/199/643,BSc in Computer Science,6,Senior Software Engineer,Avila PLC,Database Systems,"Python, Agile Methodologies, Debugging, C++, System Architecture",1.9
Ryan Sanders,https://placekitten.com/228/34,MSc in Computer Science,31,Senior Product Manager,"Mckinney, Cuevas and Hoover",User Experience,"Product Lifecycle Management, Stakeholder Management, Agile, Project Management, Scrum",4.4
Mrs. Catherine Norris,https://dummyimage.com/388x253,BSc in Data Science,26,Senior Data Scientist,"Horn, Bailey and Roberts",Big Data,"Data Visualization, Python, Statistics, Natural Language Processing, R",1.4
Steven Anderson,https://dummyimage.com/602x663,BSc in Information Technology,40,Senior Frontend Developer,"Stevenson, Riley and Sutton",Web Development,"CSS, HTML, TypeScript, UI/UX Design, Responsive Design",4.2
Isabel Best,https://dummyimage.com/691x632,MSc in Data Engineering,35,Data Engineer,Gonzales Group,Big Data,"Data Warehousing, Python, Apache Spark, Big Data, Database Management",2.6
Patricia Gonzalez,https://placekitten.com/125/945,BSc in Information Systems,19,Principal Systems Analyst,Sanchez PLC,Business Analysis,"Database Management, Requirements Gathering, Process Improvement, Business Analysis, System Integration",3.9
Cassandra Murphy,https://placekitten.com/943/342,PhD in Data Science,7,Principal Data Scientist,Moreno-Johnson,Big Data,"Statistics, Natural Language Processing, SQL, Machine Learning, Python",2.3
Mr. Joseph Stokes,https://placekitten.com/470/40,MSc in Information Technology,4,Principal DevOps Engineer,Warner-Burch,Automation,"CI/CD, Shell Scripting, AWS, Linux, Ansible",3.4
Justin Camacho,https://placekitten.com/1002/1009,BSc in Computer Science,30,Blockchain Developer,"Fernandez, Santos and Martin",Cryptography,"Blockchain Development, Distributed Systems, Smart Contracts, Consensus Algorithms, Hyperledger",4.3
Misty Miles,https://dummyimage.com/326x62,MSc in Computer Science,16,Principal Product Manager,White-Boyle,Product Management,"Agile, Market Research, Project Management, Product Roadmap, User Experience",1.7
Anthony Mills,https://dummyimage.com/631x291,BSc in Computer Science,33,Full Stack Developer,"Reyes, Sawyer and Brown",Full Stack Development,"Angular, JavaScript, REST APIs, Full Stack Development, SQL",3.0
Vincent Phillips,https://dummyimage.com/759x581,MSc in Blockchain Technology,39,Senior Blockchain Engineer,"Ponce, Johnson and Davis",Cryptography,"Ethereum, Consensus Algorithms, Blockchain Development, Distributed Systems, Smart Contracts",4.4
Lucas Contreras,https://picsum.photos/256/902,MSc in Computer Science,38,Senior Backend Developer,Cannon and Sons,Backend Development,"Microservices, NoSQL Databases, Backend Development, Go, REST APIs",3.9
Susan Nicholson,https://picsum.photos/486/249,BSc in Cybersecurity,27,Senior Cybersecurity Analyst,Flores PLC,Threat Intelligence,"Vulnerability Assessment, Cryptography, Penetration Testing, Network Security, Ethical Hacking",1.1
Kelly Griffin,https://dummyimage.com/285x44,MSc in Computer Science,6,Senior Backend Developer,"Reed, Hawkins and Morrison",Backend Development,"NoSQL Databases, SQL, REST APIs, Backend Development, Microservices",3.2
Ryan Hahn,https://dummyimage.com/691x511,PhD in Computer Science,18,Lead Software Developer,"Madden, Green and Howard",System Design,"System Architecture, Java, Python, Agile Methodologies, Database Management",1.9
Renee Harvey,https://placekitten.com/214/720,PhD in Artificial Intelligence,37,Principal AI Researcher,Mclaughlin-Pena,Artificial Intelligence,"Deep Learning, Computer Vision, Machine Learning, PyTorch, Natural Language Processing",1.0
Donna Montoya,https://dummyimage.com/967x262,BSc in Computer Science,33,Frontend Developer,"Best, Hill and Howard",UI/UX Design,"Responsive Design, HTML, CSS, UI/UX Design, Vue.js",3.9
Mr. Anthony Fleming DDS,https://picsum.photos/537/488,BSc in Computer Science,17,Senior Blockchain Engineer,Velazquez and Sons,Decentralized Applications (DApps),"Hyperledger, Consensus Algorithms, Cryptography, Blockchain Development, Bitcoin",4.8
Michelle Higgins,https://picsum.photos/646/1020,PhD in Artificial Intelligence,10,Principal AI Researcher,"Mata, Reed and Hess",Computer Vision,"TensorFlow, Reinforcement Learning, Computer Vision, Deep Learning, Algorithm Development",4.8
Ronnie Peck,https://picsum.photos/82/374,BSc in Business Administration,4,Product Manager,Nichols-Andrade,User Experience,"Project Management, Market Research, Product Lifecycle Management, Stakeholder Management, Agile",3.7
Justin Williams,https://picsum.photos/985/286,BSc in Computer Science,24,Principal Full Stack Developer,Wallace-Jones,API Development,"React, JavaScript, HTML, Full Stack Development, REST APIs",2.5
Diamond Williams,https://dummyimage.com/425x878,MBA,27,Product Manager,Weaver-Bond,User Experience,"Agile, Stakeholder Management, Product Lifecycle Management, Market Research, Scrum",1.5
Stacy Foster,https://placekitten.com/560/222,MSc in Data Engineering,37,Senior Data Engineer,Martinez PLC,Data Engineering,"SQL, Apache Spark, Database Management, Big Data, Data Warehousing",2.5
Ronald Osborn,https://picsum.photos/44/971,MSc in Information Systems,29,Principal Systems Analyst,Rodriguez PLC,Process Improvement,"System Integration, Technical Documentation, Requirements Gathering, UML, Database Management",3.4
Ashley Thompson,https://placekitten.com/254/460,BSc in Computer Science,33,Lead Software Developer,Harris-Morris,Software Engineering,"Debugging, Java, Agile Methodologies, System Architecture, Python",1.9
Melinda Dunn,https://dummyimage.com/653x98,BSc in Network Engineering,27,Network Engineer,"Esparza, Erickson and Olson",Network Administration,"Firewall Configuration, LAN/WAN, Network Security, Network Design, VPN",4.2
Nathan Cole,https://placekitten.com/34/969,BSc in Computer Science,29,Principal Full Stack Developer,"Ferguson, Johnson and Scott",Frontend and Backend Integration,"Full Stack Development, React, HTML, Angular, Node.js",2.4
Patricia Boyd,https://picsum.photos/781/303,BSc in Computer Science,12,Lead Software Developer,Rogers-Barton,Cloud Computing,"System Architecture, Agile Methodologies, C++, Java, Python",3.9
Rhonda Riley,https://dummyimage.com/650x618,BSc in Network Engineering,25,Principal Network Engineer,Hill-Hale,Network Design,"Wireless Networking, TCP/IP, Firewall Configuration, VPN, Network Troubleshooting",2.4
Lisa Mccann,https://placekitten.com/829/551,MSc in Information Systems,16,Systems Analyst,Johnson-Rosales,Business Analysis,"Database Management, System Analysis, Requirements Gathering, Technical Documentation, Process Improvement",3.5
Lawrence Ramirez,https://placekitten.com/842/440,MSc in Data Engineering,10,Senior Data Engineer,"Lopez, Harris and Conway",Big Data,"Database Management, ETL, Hadoop, Python, Big Data",2.5
